,ratio,rndint,dataset,mape_test,r2_test,mape_interpolation,r2_interpolation
0,0.05,294.0,Sobol1,0.0856636519968067,0.5590476033874294,0.0927233106116451,0.4039990893207976
1,0.15,222.0,Sobol1,0.0859255003334861,0.5885302337708906,0.0925059916679544,0.4139251465654258
2,0.05,249.0,Sobol1,0.0872416632425143,0.4868881981272409,0.0927437548942342,0.4023645140874869
3,0.2,222.0,Sobol1,0.0876962936324663,0.5759163626278734,0.0926543662715601,0.4156552731075216
4,0.1,222.0,Sobol1,0.0878736847960249,0.5846528576873762,0.0928571288743149,0.4082083956499368
5,0.05,930.0,Sobol1,0.0889267647283068,0.6422227210565361,0.0926347743269155,0.4094809906675648
6,0.15,294.0,Sobol1,0.0892046567525554,0.5791037551147851,0.0928965277091009,0.4118151903848748
7,0.1,294.0,Sobol1,0.0899415084679843,0.5888280287874325,0.0926935497201936,0.4109585362475165
8,0.1,928.0,Sobol1,0.0910200132226305,0.5816018506438785,0.0925650541673917,0.413119859502043
9,0.05,510.0,Sobol1,0.0910331911342937,0.5450693804932114,0.0929925448754616,0.4034987786114624
10,0.05,297.0,Sobol2,0.0910459600772474,0.5618600267472983,0.0935091649125142,0.3801302103332475
11,0.15,928.0,Sobol1,0.0910832438185669,0.5757965854456235,0.0925839642223816,0.4166782978721206
12,0.05,721.0,Sobol2,0.091292024816381,0.4175359626422082,0.0941926898175403,0.3685940785104544
13,0.25,222.0,Sobol1,0.0915577465860785,0.5705032298887021,0.0928467328413321,0.4215399612016612
14,0.1,297.0,Sobol2,0.0917400727128124,0.5756202831505458,0.0935816023199247,0.3838163316239149
15,0.05,794.0,Sobol1,0.0918586095249994,0.5167291705476343,0.0928675165666997,0.4027513176277105
16,0.15,530.0,Sobol1,0.0919310688300134,0.5146692548297744,0.0930717424776751,0.4066318740366158
17,0.05,16.0,Sobol1,0.0920556549961668,0.5445069671427347,0.0928322535353764,0.4045949314026505
18,0.05,78.0,Sobol1,0.0923371119725426,0.56787244386749,0.092794469580374,0.4056733359080047
19,0.1,930.0,Sobol1,0.092567379444252,0.5553416420228892,0.0929133784203862,0.4082347686125389
20,0.2,294.0,Sobol1,0.0930423755652274,0.5749801983879665,0.0932042748087508,0.4163534990370561
21,0.05,554.0,Sobol1,0.0931973255058843,0.5349462893551828,0.0928518472672938,0.4036619225976822
22,0.05,985.0,Sobol1,0.0934751189291688,0.4260587470845086,0.0929693814881982,0.3993134958875971
23,0.1,16.0,Sobol1,0.0936693440884387,0.5603584162578171,0.0930404496414577,0.4082092260760122
24,0.1,510.0,Sobol1,0.093694023712469,0.5527270344219077,0.0933737571964654,0.4041161084332577
25,0.05,669.0,Sobol2,0.0937728029341269,0.6230880922664251,0.093204650620407,0.3863143954461137
26,0.2,530.0,Sobol1,0.0937893735896576,0.5120879614909031,0.0932265745104515,0.4087482201745687
27,0.05,996.0,Sobol2,0.0941806738667199,0.5015514873082194,0.0938366162221325,0.3748266887635435
28,0.05,968.0,Sobol1,0.0942032898493547,0.4523471825065972,0.0931855542265745,0.3982842803714744
29,0.05,530.0,Sobol1,0.0942146593476849,0.4703534498883296,0.0930342305147692,0.4004084493312039
30,0.3,222.0,Sobol1,0.0943347477948126,0.5695581569317993,0.0927438233482224,0.4297566997650698
31,0.2,968.0,Sobol1,0.0943913967774898,0.5222574990802518,0.0934450765999441,0.4079963213275372
32,0.2,928.0,Sobol1,0.0944292575266779,0.5280788849007899,0.0931247530830353,0.4119395771794545
33,0.25,816.0,Sobol1,0.0946508825562209,0.5224678645763621,0.0935578884489635,0.4102643713331044
34,0.2,986.0,Sobol1,0.0947428696808318,0.5153232581478899,0.0940493185566228,0.4017860392393344
35,0.05,759.0,Sobol1,0.0947994605906055,0.6537381940178351,0.0926234539294444,0.4124195427588217
36,0.2,180.0,Sobol1,0.0948717235848999,0.5504265441938956,0.0930989557013859,0.4153435053775979
37,0.1,530.0,Sobol1,0.0948829030404149,0.5149239726920944,0.0930542019012373,0.4054783310408416
38,0.15,75.0,Sobol2,0.0949443534257527,0.5404969496503307,0.094465098869596,0.3764770345589032
39,0.1,554.0,Sobol1,0.095023462125377,0.5817539396724862,0.092785413899821,0.4122252495128273
40,0.15,78.0,Sobol1,0.0953238533880579,0.5632439169038961,0.0932999693232655,0.4107272448967285
41,0.25,530.0,Sobol1,0.0953702999323871,0.5137754659221501,0.0937191983275456,0.4086364032720095
42,0.25,180.0,Sobol1,0.0953966495427979,0.5327198572772169,0.0934498152018359,0.4134339721899823
43,0.2,78.0,Sobol1,0.0954865645183608,0.5646550923137421,0.0933204820763756,0.4148624713759798
44,0.3,180.0,Sobol1,0.0955682997067613,0.5373802162047696,0.0934792921841462,0.4177462581764967
